cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00025284,Raul M Grijalva (D-Ariz),75026,475000,275013,2014,H,Center for Responsive Politics,,441
N00031226,Jackie Walorski (R-Ind),67026,481000,274013,2014,H,Center for Responsive Politics,,442
N00029736,Glenn Thompson (R-Pa),107010,440999,274004,2014,H,Center for Responsive Politics,,443
N00001373,Mike Doyle (D-Pa),110005,434999,272502,2014,H,Center for Responsive Politics,,444
N00035523,Elise Stefanik (R-NY),19006,509999,264502,2014,H,Center for Responsive Politics,,445
N00033640,Hakeem Jeffries (D-NY),98014,420000,259007,2014,H,Center for Responsive Politics,,446
N00004884,Danny K Davis (D-Ill),121012,394000,257506,2014,H,Center for Responsive Politics,,447
N00009918,Patrick Leahy (D-Vt),154007,360000,257003,2014,S,Center for Responsive Politics,,448
N00037031,Darin LaHood (R-Ill),42029,456000,249014,2014,H,Center for Responsive Politics,,449
N00032416,Rob Woodall (R-Ga),120008,376000,248004,2014,H,Center for Responsive Politics,,450
N00033395,Dan Kildee (D-Mich),110006,384999,247502,2014,H,Center for Responsive Politics,,451
N00026631,Jeff Fortenberry (R-Neb),-3948989,4439998,245504,2014,H,Center for Responsive Politics,,452
N00035215,Robin Kelly (D-Ill),41028,441000,241014,2014,H,Center for Responsive Politics,,453
N00027566,Christopher S Murphy (D-Conn),38011,439998,239004,2014,S,Center for Responsive Politics,,454
N00026106,Debbie Wasserman Schultz (D-Fla),-177975,651996,237010,2014,H,Center for Responsive Politics,,455
N00004724,Jan Schakowsky (D-Ill),7021,462999,235010,2014,H,Center for Responsive Politics,,456
N00036175,Steven Russell (R-Okla),-182993,650997,234002,2014,H,Center for Responsive Politics,,457
N00032029,Morgan Griffith (R-Va),15002,449999,232500,2014,H,Center for Responsive Politics,,458
N00030709,Mark Desaulnier (D-Calif),118006,346000,232003,2014,H,Center for Responsive Politics,,459
N00027658,Kirsten Gillibrand (D-NY),118005,345000,231502,2014,S,Center for Responsive Politics,,460
N00006446,Matt Salmon (R-Ariz),81012,380000,230506,2014,H,Center for Responsive Politics,,461
N00031782,Tim Scott (R-SC),37010,404999,221004,2014,S,Center for Responsive Politics,,462
N00025237,Steven A King (R-Iowa),71016,366000,218508,2014,H,Center for Responsive Politics,,463
